date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:58:53	168/168	---MCZ	200	added ('OK')	text/plain	etag:%227434-1788035020;gz%22	https://chromora.in/robots.txt		(from )
00:58:53	299224/299224	---MCZ	200	added ('OK')	text/html	etag:%2210305-1788351088;gz%22	https://chromora.in/	C:/My%20Web%20Sites/https___chromora.in_/chromora.in/index.html	(from )
00:58:53	1736/1736	---M-Z	200	added ('OK')	application/rss+xml	etag:%22f83f644965464850df8505c5b48fa729%22	https://chromora.in/feed/	C:/My%20Web%20Sites/https___chromora.in_/chromora.in/feed/index.html	(from https://chromora.in/)
00:58:53	2101/2101	---M-Z	200	added ('OK')	application/json	etag:%2210500-1788377335;gz%22	https://chromora.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fchromora.in%2F	C:/My%20Web%20Sites/https___chromora.in_/chromora.in/wp-json/oembed/1.0/embed34af.json	(from https://chromora.in/)
00:58:54	6422/6422	---M-Z	200	added ('OK')	application/rss+xml	etag:%2260bdcab191f45aee0b42258f70555b60%22	https://chromora.in/comments/feed/	C:/My%20Web%20Sites/https___chromora.in_/chromora.in/comments/feed/index.html	(from https://chromora.in/)
00:58:54	4349/4349	---M-Z	200	added ('OK')	text/xml	etag:%2210501-1788377336;gz%22	https://chromora.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fchromora.in%2F&format=xml	C:/My%20Web%20Sites/https___chromora.in_/chromora.in/wp-json/oembed/1.0/embeddf88	(from https://chromora.in/)
00:58:54	44801/44801	---M-Z	200	added ('OK')	text/css	etag:%22af01-69f50b1d-b20af90b72a786fa;gz%22	https://chromora.in/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.13.1	C:/My%20Web%20Sites/https___chromora.in_/chromora.in/wp-content/themes/astra/assets/css/minified/main.min3940.css	(from https://chromora.in/)
00:58:54	41838/41838	---M-Z	200	added ('OK')	text/css	etag:%22a36e-6a778f19-f32b90ca7671e05f;gz%22	https://chromora.in/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=6.11.4	C:/My%20Web%20Sites/https___chromora.in_/chromora.in/wp-content/plugins/instagram-feed/css/sbi-styles.min6dd4.css	(from https://chromora.in/)
00:58:54	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%22e7d0-6a402ea0-be1bb4ba43751a2e;gz%22	https://chromora.in/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=4.1.4	C:/My%20Web%20Sites/https___chromora.in_/chromora.in/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.mineda1.css	(from https://chromora.in/)
00:58:55	26702/26702	---M-Z	200	added ('OK')	text/css	etag:%22684e-6a402ea0-eba8ce600a6f0d6b;gz%22	https://chromora.in/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=4.1.4	C:/My%20Web%20Sites/https___chromora.in_/chromora.in/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.mineda1.css	(from https://chromora.in/)
00:58:55	17323/17323	---M-Z	200	added ('OK')	text/css	etag:%2243ab-6a778f19-193ea8adb5aa1014;gz%22	https://chromora.in/wp-content/plugins/instagram-feed/vendor/smashballoon/framework/Packages/Blocks/css/sb-elementor.css?ver=1.0.0	C:/My%20Web%20Sites/https___chromora.in_/chromora.in/wp-content/plugins/instagram-feed/vendor/smashballoon/framework/Packages/Blocks/css/sb-elementor8a54.css	(from https://chromora.in/)
00:58:55	1219/1219	---M-Z	200	added ('OK')	text/css	etag:%224c3-6a8a04ba-796bc82d75984365;gz%22	https://chromora.in/wp-content/plugins/gutenkit-blocks-addon/build/gutenkit/frontend-common.css?ver=57d8a05c948cb9788214	C:/My%20Web%20Sites/https___chromora.in_/chromora.in/wp-content/plugins/gutenkit-blocks-addon/build/gutenkit/frontend-common4c49.css	(from https://chromora.in/)
00:58:55	16740/16740	---M-Z	200	added ('OK')	text/css	etag:%224164-69f50b1d-42b20439b3e480b9;gz%22	https://chromora.in/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout-grid.min.css?ver=4.13.1	C:/My%20Web%20Sites/https___chromora.in_/chromora.in/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout-grid.min3940.css	(from https://chromora.in/)
00:58:56	6205/6205	---M-Z	200	added ('OK')	text/css	etag:%22183d-69f50b1d-cf9c6335e26aad75;gz%22	https://chromora.in/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-smallscreen-grid.min.css?ver=4.13.1	C:/My%20Web%20Sites/https___chromora.in_/chromora.in/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-smallscreen-grid.min3940.css	(from https://chromora.in/)
